SUID,BEND_MAP_ID,Gene_A,Gene_B,interaction,name,Name_A,Name_B,SCORE,selected,shared interaction,shared name,source,source_original,target,target_original,TYPE
227,472894,GO:0006643,GO:0006661,Direct,,GO:0006643,GO:0006661,0.313614352,FALSE,Direct,,136,,72,,Direct
228,473260,GO:0042157,ath00563,Direct,,GO:0042157,ath00563,0.484215134,FALSE,Direct,,135,,73,,Direct
229,473259,GO:0042157,GO:1903509,Direct,,GO:0042157,GO:1903509,0.370479195,FALSE,Direct,,135,,69,,Direct
230,473258,GO:0042157,GO:0072657,Direct,,GO:0042157,GO:0072657,0.601566939,FALSE,Direct,,135,,102,,Direct
231,473257,GO:0042157,GO:0046467,Direct,,GO:0042157,GO:0046467,0.303209757,FALSE,Direct,,135,,68,,Direct
232,473256,GO:0042157,GO:0043543,Direct,,GO:0042157,GO:0043543,0.632369997,FALSE,Direct,,135,,100,,Direct
233,473255,GO:0042157,GO:0042158,Direct,,GO:0042157,GO:0042158,0.988711356,FALSE,Direct,,135,,95,,Direct
234,473203,GO:0030258,GO:0046834,Direct,,GO:0030258,GO:0046834,0.391195532,FALSE,Direct,,134,,63,,Direct
235,473202,GO:0030258,GO:0046488,Direct,,GO:0030258,GO:0046488,0.407647557,FALSE,Direct,,134,,8,,Direct
236,473201,GO:0030258,GO:0046395,Direct,,GO:0030258,GO:0046395,0.410967299,FALSE,Direct,,134,,41,,Direct
237,473200,GO:0030258,GO:0044282,Direct,,GO:0030258,GO:0044282,0.465000477,FALSE,Direct,,134,,38,,Direct
238,473199,GO:0030258,GO:0044242,Direct,,GO:0030258,GO:0044242,0.373725952,FALSE,Direct,,134,,35,,Direct
239,473198,GO:0030258,GO:0034440,Direct,,GO:0030258,GO:0034440,0.649778488,FALSE,Direct,,134,,37,,Direct
240,473093,GO:0016042,GO:0044242,Direct,,GO:0016042,GO:0044242,0.46637609,FALSE,Direct,,132,,35,,Direct
241,472996,GO:0008299,ath00900,Direct,,GO:0008299,ath00900,0.399810909,FALSE,Direct,,131,,125,,Direct
242,472995,GO:0008299,GO:0046246,Direct,,GO:0008299,GO:0046246,0.331750195,FALSE,Direct,,131,,84,,Direct
243,472994,GO:0008299,GO:0044255,Direct,,GO:0008299,GO:0044255,0.318666126,FALSE,Direct,,131,,10,,Direct
244,472993,GO:0008299,GO:0042214,Direct,,GO:0008299,GO:0042214,0.40810938,FALSE,Direct,,131,,140,,Direct
245,472992,GO:0008299,GO:0016117,Direct,,GO:0008299,GO:0016117,0.31449363,FALSE,Direct,,131,,56,,Direct
246,472991,GO:0008299,GO:0016116,Direct,,GO:0008299,GO:0016116,0.324364533,FALSE,Direct,,131,,54,,Direct
247,472990,GO:0008299,GO:0016114,Direct,,GO:0008299,GO:0016114,0.856456926,FALSE,Direct,,131,,13,,Direct
248,472989,GO:0008299,GO:0016109,Direct,,GO:0008299,GO:0016109,0.31449363,FALSE,Direct,,131,,55,,Direct
249,472988,GO:0008299,GO:0016108,Direct,,GO:0008299,GO:0016108,0.324364533,FALSE,Direct,,131,,53,,Direct
250,472987,GO:0008299,GO:0008610,Direct,,GO:0008299,GO:0008610,0.425091553,FALSE,Direct,,131,,9,,Direct
251,473272,GO:0042446,ath00904,Direct,,GO:0042446,ath00904,0.319734712,FALSE,Direct,,130,,91,,Direct
252,473271,GO:0042446,GO:0046394,Direct,,GO:0042446,GO:0046394,0.324339998,FALSE,Direct,,130,,19,,Direct
253,472887,GO:0006633,ath01212,Direct,,GO:0006633,ath01212,0.333082438,FALSE,Direct,,129,,121,,Direct
254,472886,GO:0006633,ath00061,Direct,,GO:0006633,ath00061,0.330782446,FALSE,Direct,,129,,65,,Direct
255,472885,GO:0006633,GO:0072330,Direct,,GO:0006633,GO:0072330,0.827127123,FALSE,Direct,,129,,17,,Direct
256,472884,GO:0006633,GO:0046394,Direct,,GO:0006633,GO:0046394,0.682791328,FALSE,Direct,,129,,19,,Direct
257,472883,GO:0006633,GO:0044283,Direct,,GO:0006633,GO:0044283,0.542604539,FALSE,Direct,,129,,16,,Direct
258,472882,GO:0006633,GO:0032787,Direct,,GO:0006633,GO:0032787,0.625975915,FALSE,Direct,,129,,15,,Direct
259,472881,GO:0006633,GO:0016053,Direct,,GO:0006633,GO:0016053,0.682791328,FALSE,Direct,,129,,18,,Direct
260,472880,GO:0006633,GO:0008610,Direct,,GO:0006633,GO:0008610,0.376476119,FALSE,Direct,,129,,9,,Direct
261,472980,GO:0006732,GO:1901135,Direct,,GO:0006732,GO:1901135,0.396852756,FALSE,Direct,,128,,127,,Direct
